bimonth,price,nights,month,week,unit,trt
13,231.8952709845655,14189,8,32,sf,0
14,207.29277531411677,10824,8,34,sf,0
15,220.94222937778198,10559,9,36,sf,0
16,231.22774232756,13164,9,38,sf,0
17,229.45638060458512,9858,9,40,sf,0
18,224.4741225461035,13448,10,42,sf,0
19,226.8988554472234,11795,10,44,sf,0
20,280.43779527559053,10160,11,46,sf,0
21,225.66968433591424,8395,11,48,sf,0
22,211.2054463599429,9107,12,50,sf,0
1,105.84182908545728,1334,2,8,tc,0
2,301.7272396874432,5503,3,10,tc,0
3,124.11204400694847,3454,3,12,tc,0
4,337.3510778706555,6819,4,14,tc,0
5,140.19590361445782,4150,4,16,tc,0
6,296.49375725900114,6888,4,18,tc,0
7,150.85923160678178,6429,5,20,tc,0
8,269.59675251959686,8930,5,22,tc,0
9,166.84349046672125,8549,6,24,tc,0
11,232.27944767197104,11877,7,28,tc,0
12,163.3203327571305,9256,7,30,tc,0
13,231.99479209721417,12097,8,32,tc,0
14,170.72580329153604,10208,8,34,tc,0
15,253.94494584837545,7756,9,36,tc,0
16,184.01919739696314,9220,9,38,tc,0
17,164.7172822617419,6579,9,40,tc,0
18,248.00760085753265,10262,10,42,tc,0
19,270.55506883604505,7990,10,44,tc,0
20,150.74918753584402,5231,11,46,tc,0
21,241.48930971288942,4911,11,48,tc,0
22,223.66104030313468,5806,12,50,tc,0
