week,price,nights,month,unit,trt
35,200.60757427358797,9189,8,chicago,0
36,186.91615130159644,6953,9,chicago,0
37,216.65567210987348,9247,9,chicago,0
38,218.37051237364935,8607,9,chicago,0
39,200.30247293848456,11363,9,chicago,0
40,192.04395883623428,7871,9,chicago,0
41,235.74198927933293,8395,10,chicago,0
42,218.20546721457924,11194,10,chicago,0
43,196.1957191780822,11680,10,chicago,0
44,181.03329651254538,6337,10,chicago,0
45,192.65338015803337,5695,11,chicago,0
46,206.5798918918919,4628,11,chicago,0
47,174.03150787696924,6665,11,chicago,0
48,206.27909186906018,9470,11,chicago,0
49,195.76347117794487,6384,12,chicago,0
50,179.13075,4000,12,chicago,0
51,182.86271121351766,5208,12,chicago,0
52,194.63454108802338,9577,12,chicago,0
8,122.69036845507433,1547,2,dc,0
9,132.99875621890547,1608,2,dc,0
10,150.9721615720524,1832,3,dc,0
11,191.462652869238,5315,3,dc,0
12,160.46105717367854,4635,3,dc,0
13,165.44662309368192,4590,3,dc,0
14,178.03504171632898,4195,4,dc,0
15,176.99677985948477,3416,4,dc,0
16,207.39828080229228,6631,4,dc,0
17,175.33153638814017,5194,4,dc,0
18,173.25854189336235,4595,4,dc,0
19,171.9808622965244,4546,5,dc,0
20,187.53777597731417,4937,5,dc,0
21,198.6726945854484,9456,5,dc,0
22,163.81292059219382,6687,5,dc,0
23,170.40318383591,6533,6,dc,0
24,187.00706486833656,6228,6,dc,0
25,201.83756293023734,9733,6,dc,0
26,179.9561577752554,7048,6,dc,0
27,177.16242564441507,6052,7,dc,0
28,172.08258287028167,5219,7,dc,0
29,190.01799727948102,9557,7,dc,0
30,177.95917123705058,8205,7,dc,0
31,168.7290341665434,6761,7,dc,0
32,163.68477443609024,5320,8,dc,0
33,158.46768707482994,4116,8,dc,0
34,180.01958667489205,6484,8,dc,0
35,158.39757110898051,6258,8,dc,0
36,150.93553932101418,4654,9,dc,0
37,169.44267053701017,5512,9,dc,0
38,179.81963044583827,5899,9,dc,0
39,184.6048405338159,8842,9,dc,0
40,170.6964642144283,7014,9,dc,0
41,173.38034797490016,7012,10,dc,0
42,190.8758584942335,7717,10,dc,0
43,179.39417210183043,9506,10,dc,0
44,152.85435132957292,4964,10,dc,0
45,166.45261740447737,5941,11,dc,0
46,156.58504007123776,3369,11,dc,0
47,179.55555555555554,4572,11,dc,0
48,195.45064165844028,6078,11,dc,0
49,150.5823115053483,3833,12,dc,0
50,150.43812025685932,3426,12,dc,0
51,169.84799521244764,3342,12,dc,0
52,199.34610204997756,6683,12,dc,0
8,121.60938383267383,1769,2,denver,0
9,112.91765704584041,1178,2,denver,0
10,124.34618680377035,1167,3,denver,0
11,131.44870651204283,1121,3,denver,0
12,129.83615221987316,946,3,denver,0
13,146.21666666666667,2280,3,denver,0
14,135.54377713458754,2764,4,denver,0
15,144.03646563814866,2852,4,denver,0
16,155.52150084317032,2372,4,denver,0
17,148.29300864100549,2546,4,denver,0
18,140.1756243213898,3684,4,denver,0
19,152.65100060642814,3298,5,denver,0
20,155.16705961603233,2969,5,denver,0
21,159.212478920742,2965,5,denver,0
22,156.43743890518084,4092,5,denver,0
23,164.80385364797576,4619,6,denver,0
24,168.84352399737014,4563,6,denver,0
25,177.9344298245614,4560,6,denver,0
26,176.81603882597642,4327,6,denver,0
27,181.38160833953836,5372,7,denver,0
28,174.66169655450332,4963,7,denver,0
29,177.04022432798297,5171,7,denver,0
30,180.03813819971293,4877,7,denver,0
31,173.0365758754864,6425,7,denver,0
32,173.7368881118881,5720,8,denver,0
33,171.60514586709886,4936,8,denver,0
34,173.16799402687906,4018,8,denver,0
35,190.54732981893193,4363,8,denver,0
