bimonth,price,nights,month,week,unit,trt
13,241.08746411483253,10450,8,32,sf,0
14,216.2706999085087,8744,8,34,sf,0
15,227.32476179543107,8711,9,36,sf,0
16,241.65957049486462,10710,9,38,sf,0
17,225.2498201007436,8338,9,40,sf,0
18,220.18873347384556,10438,10,42,sf,0
19,222.64073049252906,9035,10,44,sf,0
20,287.764917325665,8346,11,46,sf,0
21,225.467401012206,6718,11,48,sf,0
22,221.39831865492394,7494,12,50,sf,0
1,105.84182908545728,1334,2,8,tc,0
2,302.910537870472,5466,3,10,tc,0
3,124.11204400694847,3454,3,12,tc,0
4,338.9245310884655,6771,4,14,tc,0
5,140.19590361445782,4150,4,16,tc,0
6,295.65958382180537,6824,4,18,tc,0
7,151.0491266375546,6412,5,20,tc,0
8,269.36075591264006,8837,5,22,tc,0
9,167.1586741889986,8508,6,24,tc,0
11,232.9447150303341,11703,7,28,tc,0
12,163.3928845101259,9135,7,30,tc,0
13,231.75793717453385,11906,8,32,tc,0
14,171.14518371400197,10070,8,34,tc,0
15,254.62100576217915,7636,9,36,tc,0
16,184.50598835292826,9101,9,38,tc,0
17,165.4052187260169,6515,9,40,tc,0
18,248.27724627675312,10139,10,42,tc,0
19,270.1880849987351,7906,10,44,tc,0
20,150.7652023786687,5213,11,46,tc,0
21,241.34510925056156,4897,11,48,tc,0
22,223.01148025743606,5749,12,50,tc,0
