id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7596262,Luxurious 1-Bedroom West End Apartment - by MGH,30283594,Kara,,West End,42.36503,-71.06914,Entire home/apt,139,3,9,2018-04-03,0.19,123,363
7611271,Spacious Accommodations For Family & Friends,953185,Katie,,South Boston,42.33182,-71.03399,Entire home/apt,598,2,52,2019-08-15,1.06,1,48
7614517,Beacon Hill Studio w/ patio&parking,39934024,Jim,,Beacon Hill,42.36033,-71.06792,Entire home/apt,200,3,213,2019-08-15,4.40,1,191
7618925,Modern Classic Boston Brownstone by T: City Views,11228809,Jonathan,,Roxbury,42.32964,-71.09274,Entire home/apt,793,2,3,2016-10-09,0.08,6,44
7620413,Spectacular Brownstone in South End,38708629,Karen,,South End,42.34141,-71.08173,Entire home/apt,200,14,2,2015-09-27,0.04,1,0
7630340,Downtown / Back Bay 1 Bed W/ $Valet Parking,5618949,Alan,,Chinatown,42.3486,-71.06276,Entire home/apt,196,2,110,2019-07-27,2.28,9,66
7630346,Downtown Back Bay Studio W/ $Valet Parking,5618949,Alan,,Chinatown,42.34884,-71.06384,Entire home/apt,87,2,162,2019-08-02,3.33,9,54
7633883,Beacon Hill Duplex on Charles|3 BR 2BA,814298,Brent,,Beacon Hill,42.35738,-71.07135,Entire home/apt,769,2,72,2019-07-09,1.49,89,38
7635616,Charming & Stylish Studio on Beacon Hill #9,22348222,Maverick,,Beacon Hill,42.3596,-71.06391,Entire home/apt,150,1,133,2019-08-11,2.89,54,298
7637094,"2BD, Steps to Hospitals, T&Colleges",40067818,Shannon,,Longwood Medical Area,42.34213,-71.10703,Entire home/apt,100,4,0,,,1,0
7645153,Boston Seaport | Fort Point Luxury Escape w Gym!,20114673,Nicole,,South Boston Waterfront,42.34906,-71.04758,Entire home/apt,220,3,8,2018-11-11,0.62,1,0
7651065,Come Home to Boston,15396970,Linda,,Roslindale,42.28451,-71.13626,Private room,68,2,106,2019-08-18,2.17,4,309
7659268,Good spacious apartment Brighton,33696420,Pauras,,Brighton,42.3497,-71.16015,Private room,35,1,0,,,1,0
7678756,Gorgeous and Renovated Condo,25716111,Eric,,East Boston,42.3799,-71.0296,Entire home/apt,95,5,6,2017-05-22,0.13,1,0
7692933,Perfect for 1,9508341,Phyllis,,Brighton,42.35568,-71.16214,Private room,65,1,276,2019-08-11,5.68,2,336
7693354,L’Auberge de Savin Hill,28184994,Liza,,Dorchester,42.31268,-71.05372,Private room,78,2,280,2019-08-15,5.75,1,278
7694365,"Stylish Downtown Studio in the SouthEnd, C.Ave# 41",22348222,Maverick,,South End,42.34403,-71.07717,Entire home/apt,150,1,76,2019-08-10,1.99,54,329
7694559,"Heart of South End, Convenient, Comfy Studio #32",22348222,Maverick,,South End,42.34513,-71.07513,Entire home/apt,150,1,69,2019-06-23,2.33,54,327
7699667,Boston Comfy room with free parking,9663343,Sarah,,Dorchester,42.30593,-71.07891,Private room,65,1,42,2019-07-20,1.51,4,355
7708436,"Your own bedroom, sitting room & bathroom. Near T.",236790,Ann,,Jamaica Plain,42.30984,-71.10752,Private room,80,1,74,2017-10-22,1.53,1,0
